優先度,カテゴリ,ファイル名,用途,使用ページ
最優先,ヒーロー,img/sano.jpg,代表 佐野 翼（ヒーローセクション右側の人物写真）,index.html
最優先,スタッフ写真,img/staff-sano.jpg,佐野 翼（代表・塾長）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-sawayagi.jpg,澤柳 旬（塾長）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-yoshioka.jpg,吉岡 彩（プラトン専任アドバイザー）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-miura.jpg,三浦（プロ講師）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-tachikawa.jpg,立川（プロ講師）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-kato.jpg,加藤（プロ講師）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-nakatani.jpg,中谷（プロ講師）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-sakamoto.jpg,坂本（プロ講師）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-higuchi.jpg,樋口（プロ講師）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-nishiyama.jpg,西山（プロ講師）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-tsuruta.jpg,鶴田（プロ講師）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-nagata.jpg,永田（毎日課題 Dir.）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-takizawa.jpg,瀧澤（毎日課題 Dir.）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-hayano.jpg,早野（毎日課題 Staff）プロフィール写真,index.html
最優先,スタッフ写真,img/staff-yonaha.jpg,與那覇（毎日課題 Staff）プロフィール写真,index.html
次優先,ギャラリー,img/gallery-classroom.jpg,塾内・自習室の様子,index.html
次優先,ギャラリー,img/gallery-lesson.jpg,個別指導の様子,index.html
次優先,ギャラリー,img/gallery-teacher.jpg,講師との対話授業,index.html
次優先,ギャラリー,img/gallery-study.jpg,自習室で勉強中,index.html
次優先,ギャラリー,img/gallery-essay.jpg,小論文添削,index.html
次優先,ギャラリー,img/gallery-pass.jpg,合格発表の瞬間,index.html
